MWnum,haloId,Mgal,Mhalo,zmerge,Rapomed,RapoIQR,eccmed,eccIQR,agemed,ageIQR,FeHmed,FeHIQR,Lzmed,LzIQR,Emed,EIQR,Enormmed,EnormIQR,Ngc
2,9647,80597242.4078,27286454043.6,0.73563,105.663,14.54,0.901769,0.092207,11.366190333,0.0375852025199,-1.58118,0.33863,1541.82152626,1670.81422938,-51267.1098439,9063.87334514,-0.433224013322,0.0765927238494,5
2,8204,238005207.653,35858287983.0,0.865051,57.0873,20.2305,0.711515,0.0687235,11.1737046117,1.28995630224,-1.4928,0.62991,-336.315938807,1859.67698708,-69575.1126051,11047.0542764,-0.587932684365,0.0933512578259,11
2,7231,11812075.3899,3923717828.49,1.004122,36.39685,5.29845,0.5568945,0.0087925,10.7894170989,0.00387109145947,-2.025715,0.097395,3365.83726542,684.406430764,-82101.5672922,2351.93903535,-0.693785364354,0.0198746617682,2
2,5635,142046041.931,26597481694.2,1.486707,51.4521,51.2735,0.855007,0.152416,11.9064956545,0.984232268651,-1.6019,0.274135,-1177.71531563,4229.13653933,-71882.7727619,23806.9262457,-0.607433174983,0.201176390954,11
2,3757,1418224338.13,116663420994.0,1.736966,13.7029,7.427225,0.775184,0.19037075,11.3912067715,1.23088310317,-0.8592915,0.7588795,53.3595016536,580.1084851,-117213.10246,20253.4742613,-0.990489434971,0.171148547869,156
2,1148,19405630.218,8288426474.52,3.016505,5.64964,0.0,0.314109,0.0,12.6549341564,0.0,-1.74233,0.0,-648.788225104,0.0,-136180.177498,0.0,-1.15076748446,0.0,1
2,854,5539245.25897,4913198467.69,3.527977,23.905,0.0,0.969043,0.0,13.3978331451,0.0,-1.905,0.0,111.367269939,0.0,-90187.7883791,0.0,-0.762116603672,0.0,2
2,660,30035012.1717,9953441812.66,3.983664,6.31744,0.0,0.749228,0.0,12.7441316555,0.0,-1.98519,0.0,170.532164013,0.0,-132513.848796,0.0,-1.11978579583,0.0,1
3,9192,520548825.157,56830943466.3,0.0,58.4056,16.5481,0.364678,0.044387,9.03813782522,1.19285970357,-0.890926,0.447048,-5803.47500965,2900.72176689,-55368.9941422,10812.0947598,-0.557062472566,0.108779513405,9
3,6562,57225539.5503,10816644950.3,0.61519,87.30175,18.53225,0.8258,0.024877,11.182385727,0.619493867623,-1.66287,0.3209,966.474451987,208.290629851,-54040.0475757,4843.73525976,-0.543692060628,0.0487323850118,2
3,6171,40660984.292,6410094318.58,0.73563,85.29265,14.75535,0.7115825,0.2327735,10.1470629031,0.0461238337809,-1.586375,0.030615,46.7077513415,961.69046586,-49674.0406082,10430.1943357,-0.499766057019,0.10493724757,2
3,4415,130174077.153,17942290962.6,1.259331,37.7936,10.2517,0.510158,0.03349,11.8109731181,0.119719268323,-1.76862,0.34629,-3328.9595073,1382.72709154,-65249.070519,9653.06828637,-0.656465032805,0.0971186522486,5
3,3255,1713890685.12,84645350246.4,1.486707,13.8461,6.687525,0.827751,0.14423725,10.491446675,1.13082981426,-0.712498,0.4870825,110.09179189,290.793759594,-98955.6187135,12615.6574798,-0.995583584077,0.126924995796,86
3,2091,5785277.62687,3686021989.79,2.01241,31.2253,0.0,0.738359,0.0,13.2059860351,0.0,-1.97642,0.0,-432.702825128,0.0,-74718.7794579,0.0,-0.751738923142,0.0,1
