NGC,NGCerr,logMGC,logMGCerr,logMhalo,logMs,T,dMpc,MVT,Name
    260.,    30.,    7.840,     0.047,    12.245,    10.649,   -5,   26.67,  -20.84,  NGC1439        
     21.,     7.,    6.620,     0.125,    11.509,     9.696,   -5,   20.89,  -18.49,  ESO-358-G59    
     14.,     5.,    6.430,     0.133,    11.328,     9.407,   -5,   19.43,  -18.18,  ESO-359-G02    
      5.,     4.,    5.990,     0.255,    11.214,     9.223,    4,   15.70,  -18.32,  NGC1483        
    132.,    40.,    7.520,     0.115,    12.080,    10.484,   -5,   20.24,  -20.27,  IC2006         
     55.,    10.,    7.100,     0.073,    11.816,    10.152,   -3,   20.80,  -19.71,  IC2035         
    250.,    30.,    7.830,     0.049,    12.512,    10.844,   -3,   21.38,  -20.98,  NGC1533        
    140.,    60.,    7.630,     0.155,    12.991,    11.093,   -5,   19.68,  -21.72,  NGC1549        
    540.,   160.,    8.230,     0.113,    13.250,    11.209,   -2,   18.54,  -21.98,  NGC1553        
      4.,     4.,    5.930,     0.301,    11.608,     9.848,   -3,   22.80,  -18.96,  NGC1581        
   2850.,   500.,    9.040,     0.070,    14.382,    11.731,   -5,   66.00,  -23.33,  NGC1600        
   1320.,   270.,    8.630,     0.081,    13.435,    11.289,   -5,   44.26,  -22.14,  NGC1700        
  11577.,  1046.,    9.670,     0.038,    14.595,    11.881,   -4,  154.26,  -23.70,  ESO-306-017    
     27.,    17.,    6.780,     0.212,    11.575,     9.798,    3,   17.80,  -19.38,  NGC2082        
   2120.,   780.,    8.850,     0.136,    13.609,    11.363,   -3,   84.00,  -22.41,  NGC2329        
    143.,    40.,    7.610,     0.107,    12.344,    10.729,   -5,   21.58,  -21.23,  NGC2434        
   2690.,   740.,    8.960,     0.106,    13.915,    11.496,   -5,  117.90,  -22.46,  UGC-4289       
    120.,    40.,    7.450,     0.125,    12.068,    10.471,    3,    7.73,  -19.80,  NGC2683        
  16400.,  4800.,    9.850,     0.111,    14.748,    12.037,   -5,  239.30,  -24.19,  A754-1         
    740.,    68.,    8.360,     0.038,    13.199,    11.187,   -5,   22.39,  -22.03,  NGC2768        
     50.,    30.,    7.050,     0.204,    11.847,    10.195,   -5,   22.91,  -19.45,  NGC2778        
   4400.,  1000.,    9.220,     0.089,    14.485,    11.797,   -5,  102.80,  -23.25,  NGC2832        
    712.,   108.,    8.320,     0.061,    12.661,    10.930,   -5,   37.84,  -21.50,  NGC2865        
     58.,    12.,    7.130,     0.082,    11.823,    10.162,    7,   32.00,  -19.70,  ESO-498-005    
     35.,    20.,    6.960,     0.196,    12.243,    10.646,   -2,   33.30,  -20.62,  NGC2902        
     23.,    10.,    6.690,     0.157,    11.647,     9.907,   -3,   12.19,  -19.06,  NGC3056        
    300.,   100.,    7.920,     0.125,    12.442,    10.800,    2,    3.55,  -21.08,  NGC3031        
    130.,    20.,    7.450,     0.062,    11.658,     9.924,   -3,   33.73,  -19.27,  NGC3073        
    550.,    80.,    8.190,     0.059,    12.568,    10.878,   -2,   10.00,  -21.19,  NGC3115        
     60.,    20.,    7.040,     0.125,    11.283,     9.334,   -5,   10.10,  -17.64,  NGC3115DW1     
    115.,    15.,    7.420,     0.053,    11.769,    10.086,   -2,   22.39,  -19.56,  NGC3156        
   2160.,   780.,    8.850,     0.134,    14.079,    11.571,   -5,  144.40,  -22.30,  CGCG065-015    
    470.,   200.,    8.080,     0.154,    12.190,    10.598,   -5,   23.55,  -20.53,  NGC3226        
   1330.,   440.,    8.610,     0.124,    13.535,    11.332,   -5,  143.90,  -21.85,  IC613          
   6000.,   150.,    9.240,     0.011,    12.681,    10.940,   -5,   32.06,  -21.33,  NGC3258        
   4750.,   150.,    9.150,     0.014,    12.936,    11.067,   -5,   34.83,  -21.60,  NGC3268        
  16500.,  2000.,    9.710,     0.050,    13.270,    11.218,   -5,   44.26,  -21.84,  NGC3311        
   3100.,  1000.,    9.000,     0.121,    13.474,    11.306,   -5,   41.50,  -22.19,  NGC3348        
    191.,    15.,    7.660,     0.033,    11.951,    10.331,   -5,   11.04,  -19.95,  NGC3377        
    216.,    42.,    7.770,     0.077,    12.418,    10.783,   -5,   10.20,  -20.90,  NGC3379        
