NGC,NGCerr,logMGC,logMGCerr,logMhalo,logMs,T,dMpc,MVT,Name
      3.,     2.,    5.640,     0.222,    10.616,     8.231,   10,    3.40,  -15.45,  NGC5237        
  22500.,  5500.,    9.980,     0.095,    14.761,    12.053,   -4,  169.00,  -24.10,  ESO-383-G076   
   2970.,   530.,    9.040,     0.071,    14.218,    11.640,   -3,   68.70,  -23.09,  IC4329         
   1600.,   500.,    8.720,     0.118,    13.577,    11.350,   -5,   31.19,  -22.29,  NGC5322        
    150.,    40.,    7.640,     0.103,    12.311,    10.704,    5,    6.89,  -21.36,  NGC5457        
   3500.,  1000.,    9.040,     0.109,    13.218,    11.195,   -5,   38.93,  -21.96,  NGC5557        
   2900.,   400.,    8.980,     0.056,    13.521,    11.326,   -5,   32.21,  -22.27,  NGC5813        
    180.,    30.,    7.620,     0.067,    12.028,    10.425,   -5,   25.94,  -19.77,  NGC5845        
   4670.,  1195.,    9.170,     0.099,    13.446,    11.294,   -5,   24.89,  -22.12,  NGC5846        
    370.,    70.,    8.010,     0.075,    12.519,    10.849,    0,   15.35,  -21.08,  NGC5866        
     10.,     3.,    6.250,     0.114,    11.059,     8.968,    6,    3.09,  -17.47,  ESO-274-01     
    170.,    65.,    7.630,     0.141,    12.386,    10.760,    5,   13.22,  -20.30,  NGC5907        
  18000.,  4500.,    9.820,     0.097,    14.484,    11.797,   -4,  151.00,  -23.10,  UGC-9799       
   1497.,   202.,    8.670,     0.055,    13.238,    11.204,   -5,   41.47,  -22.02,  NGC5982        
  27000., 13000.,   10.010,     0.171,    14.556,    11.849,   -4,  180.60,  -23.30,  UGC-9958       
  17900.,  4700.,    9.850,     0.101,    14.703,    11.984,   -5,  284.20,  -23.50,  A2124-1        
  13100.,  3300.,    9.680,     0.098,    14.094,    11.578,   -4,  153.40,  -23.08,  A2147-1        
  19800.,  4900.,    9.790,     0.096,    14.170,    11.615,   -2,  151.80,  -22.00,  NGC6041A       
   5030.,   300.,    9.200,     0.025,    13.534,    11.331,   -3,  150.60,  -22.08,  NGC6039        
   5100.,   340.,    9.170,     0.028,    13.272,    11.218,   -2,  136.40,  -21.42,  A2152-2        
   7800.,  2060.,    9.430,     0.102,    14.091,    11.577,   -5,  190.00,  -22.60,  A2152-1        
   9200.,  2500.,    9.530,     0.104,    14.099,    11.581,   -5,  137.30,  -23.04,  NGC6086        
   4560.,  1080.,    9.200,     0.092,    14.138,    11.599,   -5,  136.40,  -22.77,  NGC6160        
  17000.,  4000.,    9.840,     0.092,    14.561,    11.853,   -4,  130.40,  -23.70,  NGC6166        
   4600.,  2600.,    9.250,     0.195,    14.407,    11.746,   -5,  125.80,  -23.41,  NGC6173        
     60.,    13.,    7.280,     0.085,    12.827,    11.015,    4,   25.94,  -22.06,  NGC6384        
   1140.,    87.,    8.590,     0.032,    13.407,    11.277,   -5,   55.14,  -22.63,  NGC6482        
    610.,   200.,    8.230,     0.123,    12.454,    10.807,   -3,   26.67,  -21.10,  NGC6703        
     20.,    10.,    6.670,     0.176,    11.407,     9.535,    3,   78.40,  -19.84,  ESO-185-IG013  
   1860.,   600.,    8.730,     0.121,    12.829,    11.016,   -3,   28.05,  -21.31,  NGC6861        
     90.,    40.,    7.410,     0.160,    12.039,    10.438,    5,    6.08,  -21.24,  NGC6946        
   1634.,    88.,    8.660,     0.023,    12.713,    10.957,   -5,   49.46,  -21.19,  NGC7014        
   2700.,   800.,    8.920,     0.113,    13.376,    11.264,   -2,   29.92,  -21.89,  NGC7049        
    400.,    30.,    8.010,     0.031,    12.235,    10.640,   -5,   31.33,  -20.54,  NGC7173        
    132.,    25.,    7.540,     0.075,    12.117,    10.525,    5,   23.51,  -20.63,  IC5176         
    210.,   130.,    7.800,     0.209,    13.147,    11.163,    4,   15.07,  -21.71,  NGC7331        
    175.,    15.,    7.670,     0.036,    12.361,    10.743,   -2,   23.01,  -20.83,  NGC7332        
     75.,    10.,    7.280,     0.054,    12.091,    10.497,    4,   23.10,  -20.39,  NGC7339        
   2100.,   730.,    8.820,     0.130,    13.606,    11.362,   -5,   29.24,  -22.04,  IC1459         
    160.,    50.,    7.560,     0.118,    11.814,    10.150,   -2,   13.24,  -19.58,  NGC7457        
   2833.,   300.,    8.980,     0.044,    13.747,    11.422,   -5,   47.42,  -22.51,  NGC7626        
  18000.,  4600.,    9.840,     0.099,    14.460,    11.780,   -5,  124.50,  -23.35,  NGC7720        
    850.,   320.,    8.380,     0.139,    12.503,    10.839,    2,   21.00,  -21.25,  NGC7727        
   3000.,  1300.,    9.040,     0.156,    14.184,    11.622,   -5,  112.10,  -23.07,  NGC7768        
     17.,     5.,    6.580,     0.112,    11.453,     9.608,    6,    3.84,  -19.35,  NGC7793        
